xe…,наш:INCL
aʁ-a-jde,говорить-IPF-PT:HAB
xir…,Жена
ruš=ra,дочь=ADD
qːiztamam,Кистамам
fajš.u-ne,уносить-PF-AOR
sülejman-ar-i-s,Сулейман-PL-DAT
bilaj-ar.i-s,Билай-PL-DAT
aχpːa,потом
musa,Муса
amirg-u-ne,{IN}оставаться-PF-AOR
xir –,жена
zat’,вещь
faj-i-f-tːawa,приносить-PF-S-COP:NEG
musa.ji,Муса(ERG)
ha-gi-s-ar.i,EM-DEMG-LOC-PL(IN)
ʡaǯiz,несчастный
x-u-na,стать-PF-CONV
k’-i-na,умирать-PF-CONV
terg,<искоренять>
x-u-na,стать-PF-CONV
š-u-ne,уходить-PF-AOR
ge,DEMG
mi-štːi,DEMM-ADV
x-u-na,стать-PF-CONV
musa.ji-q,Муса-POST
sara,другой
tuχum –,тухум
zat’,вещь
qa-x-u-ndawa,RE-стать-PF-AOR:NEG
aχpːa,потом
q’abanaj-ar,Кабанай-PL
amirg-u-ne,{IN}оставаться-PF-AOR
q’aban.i,Кабанай(GEN)
gada-jar,сын-PL
x-u-ne,стать-PF-AOR
šaʕban=na,Шахбан=COORD
kːa…,[Карабин]
fiš,кто
šaʕban,Шахбан
kːarabin,Карабин
ramazan,Рамазан
aχpːa,потом
fiš,кто
meʜemed,Магомед
kistːar.i-n,Кистар-GEN
kistːar.i,Кистар(GEN)
mawlud,Мавлуд
aʁ-a-f=ra,говорить-IPF-S=ADD
x-u-ne,стать-PF-AOR
šaʕban,Шахбан
gi-n,DEMG-GEN
armi-s,армия-DAT
š-u-n…,[уходить-PF]
armi-as,армия-(IN)ELAT
qaj-i-f-tːawa,RE:приходить-PF-S-COP:NEG
k’-i-na,умирать-PF-CONV
kːarabin,Карабин
qaj-na,RE:приходить:PF-CONV
biliǯ.a-ʔ,Белиджи-IN
küč,<переселяться>
x-u-na,стать-PF-CONV
gi-sa-ʔ,DEMG-LOC-IN
k’-i-ne,умирать-PF-AOR
mawlud,Мавлуд
amirg-u-ne,{IN}оставаться-PF-AOR
aχpːa,потом
abil,Абил
aʁ-a-jde,говорить-IPF-PT:HAB
gada,сын
qa-ji,{POST}быть-PST
gi-q,DEMG-POST
ge,DEMG
abil,Абил
aʁ-a-jde,говорить-IPF-PT:HAB
gada,сын
hiš-i-na,убегать-PF-CONV
š-u-nde-f,уходить-PF-PT:AOR-S
rus,средний
rus-s,Азия-DAT
qaj-i-ndawa,RE:приходить-PF-AOR:NEG
jaʕa=ra,сегодня=ADD
qaj-i-n,RE:приходить-PF
#f-tːawa,S-COP:NEG
gul-u-ne,исчезать-PF-AOR
aχpːa,потом
