date,place,seen,real,link,lon,lat,marker-color,marker-size,marker-symbol
02/08/1965,"Florence, Arizona",flying object,satellite,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7461174-Florence-Arizona.pdf,-111.3873431,33.0314508,#4089ba,medium,circle-stroked
02/08/1965,"Ft-Worth, Texas",flying object,satellite,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7441470-Ft-Worth-Texas.pdf,-97.3327459,32.753177,#4089ba,medium,circle-stroked
02/08/1965,"Kansas City, Missouri",flying object,satellite,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7441477-KansasCity-Missouri.pdf,-94.5781416,39.100105,#4089ba,medium,circle-stroked
02/08/1965,"Cuyahoga Falls, Ohio",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7441489-CuyahogaFalls-Ohio.pdf,-81.4848086,41.1348213,#319f1d,medium,airport
02/08/1965,"Florence, Arizona",flying object,satellite,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7461174-Florence-Arizona.pdf,-111.3873431,33.0314508,#4089ba,medium,circle-stroked
02/08/1965,"Austin,Texas",flying object,satellite,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7461254-Austin-Texas.pdf,-97.7436995,30.2711286,#4089ba,medium,circle-stroked
02/08/1965,"Dayton, Ohio",light,Astro(Spica),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7441556-Dayton-Ohio.pdf,-84.1916069,39.7589478,#122c87,medium,lighthouse
02/08/1965,"Kettering, Ohio",light,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7441576-Kettering-Ohio.pdf,-84.1688274,39.6895036,#122c87,medium,lighthouse
02/08/1965,"Alexandria, Virginia",light,reflection,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7441591-Alexandria-Virginia.pdf,-77.0902476527272,38.8147596,#c713e7,medium,cross
02/08/1965,"Dayton, Ohio",light,Astro(Spica),https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7441556-Dayton-Ohio.pdf,-84.1916069,39.7589478,#122c87,medium,lighthouse
02/08/1965,"Kettering, Ohio",light,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7441576-Kettering-Ohio.pdf,-84.1688274,39.6895036,#122c87,medium,lighthouse
02/08/1965,"Alexandria,Virginia",light,reflection,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7441591-Alexandria-Virginia.pdf,-77.0902476527272,38.8147596,#c713e7,medium,cross
02/08/1965,"Waikiki Beach, Hawaii",light,conventional objects,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7461278-WaikikiBeach-Hawaii.pdf,-157.824514819965,21.273936,#c713e7,medium,cross
03/08/1965,"Albuquerque, New Mexico",flying object,flare,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7440756-Albuquerque-NewMexico.pdf,-106.6509851,35.0841034,#c713e7,medium,cross
03/08/1965,"Colorado Springs, Colorado",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7461311-ColoradoSprings-Colorado.pdf,-104.8253485,38.8339578,#122c87,medium,lighthouse
03/08/1965,"Santa Ana, California",flying object,hoax,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7461487-SantaAna-California.pdf,-117.8732213,33.7494951,#c713e7,medium,cross
03/08/1965,"Schenectady, New York",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7463237-Schenectady-NewYork.pdf,-73.9395687,42.8142432,#319f1d,medium,airport
03/08/1965,"Laredo, Texas",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7464008-Laredo-Texas.pdf,-99.4953764,27.5199841,#319f1d,medium,airport
03/08/1965,"Salt Springs Reservoir, California",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7464650-SaltSpringsReservoir-California.pdf,-120.182547395071,38.4972642,#122c87,medium,lighthouse
