date,place,seen,real,link,lon,lat,marker-color,marker-size,marker-symbol
06/09/1965,"Alice, Texas",flying object,satellite,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8673865-Alice-Texas.pdf,-98.0697249,27.7522487,#23ed0c,medium,rocket
07/09/1965,"Alexandria, Louisiana",flying object,satellite,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8674266-Alexandria-Louisiana.pdf,-92.4449087,31.311248,#23ed0c,medium,rocket
07/09/1965,"Menlo Park, California",flying object,Astro(meteor),https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8674804-MenloPark-California.pdf,-122.1821871,37.4538274,#23ed0c,medium,rocket
07/09/1965,"Tempe, Arizona",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8674931-Tempe-Arizona.pdf,-111.9094474,33.4144139,#23ed0c,medium,rocket
08/09/1965,"Tonawanda, New York",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8674421-Tonawanda-NewYork.pdf,-78.878383,43.020679,#23ed0c,medium,rocket
09/09/1965,"Los Angeles, California",ball,Astro(meteor),https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8675293-LosAngeles-California.pdf,-118.2427669,34.0536834,#952dcd,medium,circle
09/09/1965,"Walpole, Massachusetts",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8675219-Walpole-Massachusetts.pdf,-71.2494985,42.1417653,#23ed0c,medium,rocket
11/09/1965,"Sauk Centre, Minnesota",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8676415-SaukCentre-Minnesota.pdf,-94.9525216,45.737465,#23ed0c,medium,rocket
12/09/1965,"Odessa, Texas",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8676865-Odessa-Texas.pdf,-102.367687,31.8457149,#23ed0c,medium,rocket
14/09/1965,"Lyons, Kansas",flying object,insufficient data,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8677117-Lyons-Kansas.pdf,-98.2017268,38.3450104,#23ed0c,medium,rocket
15/09/1965,"Renton, Washington",flying object,insufficient data,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8677345-Renton-Washington.pdf,-122.2034496,47.4799078,#23ed0c,medium,rocket
16/09/1965,"Rolla, Missouri",flying object,Astro(star/planet) ,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8677486-Rolla-Missouri.pdf,-91.771792,37.9513575,#23ed0c,medium,rocket
16/09/1965,"Baltimore, Maryland",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8677590-Baltimore-Maryland.pdf,-76.610759,39.2908816,#23ed0c,medium,rocket
17/09/1965,"Kettering, Ohio",flying object,satellite,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8677985-Kettering-Ohio.pdf,-84.1688274,39.6895036,#23ed0c,medium,rocket
18/09/1965,"Vashon, Washington",flying object,insufficient data,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8678496-Vashon-Washington.pdf,-122.473705254669,47.42087595,#23ed0c,medium,rocket
19/09/1965,"Yokohama, Japan",ball,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8678588-Yokohama-Japan.pdf,139.636768,35.444991,#952dcd,medium,circle
20/09/1965,"Winston Salem, North Carolina",flying object,Inconsistancies in report,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8678813-WinstonSalem-NorthCarolina.pdf,-80.2440518,36.0998131,#23ed0c,medium,rocket
20/09/1965,"Dayton, Ohio Area",flying object,satellite,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8679178-Dayton-OhioArea.pdf,-84.1916069,39.7589478,#23ed0c,medium,rocket
20/09/1965,"St Petersburg, Florida",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8679680-St-Petersburg-Florida.pdf,-82.6695085,27.7703796,#23ed0c,medium,rocket
21/09/1965,"Brownfield, Texas",flying object,satellite,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8679819-Brownfield-Texas.pdf,-102.2743489,33.1812035,#23ed0c,medium,rocket
22/09/1965,"Clover, Minnesota",flying object,balloon,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8680004-Clover-Minnesota.pdf,-94.8484743,47.7691846,#23ed0c,medium,rocket
22/09/1965,"Landis, North Carolina",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8680117-Landis-NorthCarolina.pdf,-80.6108998,35.5456947,#23ed0c,medium,rocket
22/09/1965,"Dunkirk, New York",flying object,Astro(star/planet) ,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8680738-Dunkirk-NewYork.pdf,-79.333932,42.479502,#23ed0c,medium,rocket
22/09/1965,"Silver Springs, Maryland",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8680801-SilverSprings-Maryland.pdf,-76.910115,38.821017,#23ed0c,medium,rocket
22/09/1965,"Rio Vista, California",light,Astro(Venus),https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8680465-RioVista-California.pdf,-121.6913439,38.1557502,#ebe30f,medium,star
23/09/1965,"New Orleans, Louisiana",flying object,Astro(star/planet) ,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8681283-NewOrleans-Louisiana.pdf,-90.0701156,29.9499323,#23ed0c,medium,rocket
23/09/1965,"Portland, Oregon",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8681616-Portland-Oregon.pdf,-122.6741949,45.5202471,#23ed0c,medium,rocket
23/09/1965,"Bellbrook, Ohio",light,aircraft,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8681123-Bellbrook-Ohio.pdf,-84.0701766,39.6358399,#ebe30f,medium,star
24/09/1965,"Whiteman AFB, Missouri",flying object,satellite,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8681725-WhitemanAFB-Missouri.pdf,-93.5614331941913,38.7298305,#23ed0c,medium,rocket
24/09/1965,"Washington, DC",flying object,birds,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8681805-WashingtonD-C.pdf,-77.0365625,38.8950092,#23ed0c,medium,rocket
25/09/1965,"Okinawa",dots,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8682223-Okinawa.pdf,128.0255901,26.5707754,#2c72ce,medium,cross
25/09/1965,"Cogan Station, Pennsylvania",flying object,Astro(Capella),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8682315-CoganStation-Pennsylvania.pdf,-77.200383,41.398205,#23ed0c,medium,rocket
25/09/1965,"Chisholm, Minnesota",flying object,,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8682642-Chisholm-Minnesota.pdf,-92.883528,47.489926,#23ed0c,medium,rocket
25/09/1965,"Rodeo, New Mexico",flying object,Unidentified,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8683093-Rodeo-NewMexico.pdf,-109.0311704,31.8353757,#23ed0c,medium,rocket
26/09/1965,"Middletown, New York",flying object,Astro(Acturus),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8683415-Middletown-NewYork.pdf,-74.420917744689,41.44634,#23ed0c,medium,rocket
26/09/1965,"Licking County, Ohio",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8683730-LickingCounty-Ohio.pdf,-82.4627856,40.1318041,#23ed0c,medium,rocket
27/09/1965,"Pennsylvania",ball,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8685073-Pennsylvania.pdf,-77.7278831,40.9699889,#952dcd,medium,circle
27/09/1965,"Goshen, New York",flying object,unreliable report,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8684985-Goshen-NewYork.pdf,-74.3243191,41.4020382,#23ed0c,medium,rocket
27/09/1965,"Kent, Washington",flying object,Astro(Capella),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8685188-Kent-Washington.pdf,-122.2270272,47.3826903,#23ed0c,medium,rocket
27/09/1965,"Ellenville, New York",light,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8685335-Ellenville-NewYork.pdf,-74.39571,41.7170379,#ebe30f,medium,star
29/09/1965,"Carson City, Nevada",light,missile,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-8685396-CarsonCity-Nevada.pdf,-119.7669808,39.170557,#ebe30f,medium,star
30/09/1965,"Houston, Texas",flying object,miesinterpretation,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-09-7476360-Houston-TexasArea-%5BILLEGIBLE%5D-.pdf,-95.3676974,29.7589382,#23ed0c,medium,rocket
